features,model_name,measure,value
participation,log_reg,roc_auc_score,0.984
participation,log_reg,average_precision_score,0.961
participation,log_reg,average_precision_score_0.01,0.117
participation,log_reg,average_precision_score_0.05,0.144
participation,log_reg,average_precision_score_0.1,0.241
participation,random_forest,roc_auc_score,0.984
participation,random_forest,average_precision_score,0.963
participation,random_forest,average_precision_score_0.01,0.222
participation,random_forest,average_precision_score_0.05,0.622
participation,random_forest,average_precision_score_0.1,0.943
participation,lightgbm,roc_auc_score,0.984
participation,lightgbm,average_precision_score,0.958
participation,lightgbm,average_precision_score_0.01,0.1
participation,lightgbm,average_precision_score_0.05,0.1
participation,lightgbm,average_precision_score_0.1,0.922
participation,xgboost,roc_auc_score,0.986
participation,xgboost,average_precision_score,0.963
participation,xgboost,average_precision_score_0.01,0.199
participation,xgboost,average_precision_score_0.05,0.618
participation,xgboost,average_precision_score_0.1,0.928
in_mod_deg,log_reg,roc_auc_score,0.82
in_mod_deg,log_reg,average_precision_score,0.445
in_mod_deg,log_reg,average_precision_score_0.01,0.105
in_mod_deg,log_reg,average_precision_score_0.05,0.108
in_mod_deg,log_reg,average_precision_score_0.1,0.112
in_mod_deg,random_forest,roc_auc_score,0.874
in_mod_deg,random_forest,average_precision_score,0.737
in_mod_deg,random_forest,average_precision_score_0.01,0.121
in_mod_deg,random_forest,average_precision_score_0.05,0.215
in_mod_deg,random_forest,average_precision_score_0.1,0.307
in_mod_deg,lightgbm,roc_auc_score,0.861
in_mod_deg,lightgbm,average_precision_score,0.72
in_mod_deg,lightgbm,average_precision_score_0.01,0.108
in_mod_deg,lightgbm,average_precision_score_0.05,0.207
in_mod_deg,lightgbm,average_precision_score_0.1,0.351
in_mod_deg,xgboost,roc_auc_score,0.866
in_mod_deg,xgboost,average_precision_score,0.737
in_mod_deg,xgboost,average_precision_score_0.01,0.105
in_mod_deg,xgboost,average_precision_score_0.05,0.214
in_mod_deg,xgboost,average_precision_score_0.1,0.309
beta_star,log_reg,roc_auc_score,0.992
beta_star,log_reg,average_precision_score,0.97
beta_star,log_reg,average_precision_score_0.01,0.119
beta_star,log_reg,average_precision_score_0.05,0.207
beta_star,log_reg,average_precision_score_0.1,0.313
beta_star,random_forest,roc_auc_score,0.981
beta_star,random_forest,average_precision_score,0.957
beta_star,random_forest,average_precision_score_0.01,0.401
beta_star,random_forest,average_precision_score_0.05,0.738
beta_star,random_forest,average_precision_score_0.1,0.823
beta_star,lightgbm,roc_auc_score,0.983
beta_star,lightgbm,average_precision_score,0.962
beta_star,lightgbm,average_precision_score_0.01,0.1
beta_star,lightgbm,average_precision_score_0.05,0.1
beta_star,lightgbm,average_precision_score_0.1,0.806
beta_star,xgboost,roc_auc_score,0.99
beta_star,xgboost,average_precision_score,0.969
beta_star,xgboost,average_precision_score_0.01,0.451
beta_star,xgboost,average_precision_score_0.05,0.573
beta_star,xgboost,average_precision_score_0.1,0.816
edge_contr,log_reg,roc_auc_score,0.987
edge_contr,log_reg,average_precision_score,0.962
edge_contr,log_reg,average_precision_score_0.01,0.112
edge_contr,log_reg,average_precision_score_0.05,0.149
edge_contr,log_reg,average_precision_score_0.1,0.331
edge_contr,random_forest,roc_auc_score,0.983
edge_contr,random_forest,average_precision_score,0.954
edge_contr,random_forest,average_precision_score_0.01,0.405
edge_contr,random_forest,average_precision_score_0.05,0.602
edge_contr,random_forest,average_precision_score_0.1,0.936
edge_contr,lightgbm,roc_auc_score,0.983
edge_contr,lightgbm,average_precision_score,0.954
edge_contr,lightgbm,average_precision_score_0.01,0.1
edge_contr,lightgbm,average_precision_score_0.05,0.1
edge_contr,lightgbm,average_precision_score_0.1,0.936
edge_contr,xgboost,roc_auc_score,0.985
edge_contr,xgboost,average_precision_score,0.953
edge_contr,xgboost,average_precision_score_0.01,0.1
edge_contr,xgboost,average_precision_score_0.05,0.1
edge_contr,xgboost,average_precision_score_0.1,0.602
cada,log_reg,roc_auc_score,0.987
cada,log_reg,average_precision_score,0.964
cada,log_reg,average_precision_score_0.01,0.116
cada,log_reg,average_precision_score_0.05,0.181
cada,log_reg,average_precision_score_0.1,0.369
cada,random_forest,roc_auc_score,0.984
cada,random_forest,average_precision_score,0.961
cada,random_forest,average_precision_score_0.01,0.406
cada,random_forest,average_precision_score_0.05,0.605
cada,random_forest,average_precision_score_0.1,0.943
cada,lightgbm,roc_auc_score,0.984
cada,lightgbm,average_precision_score,0.961
cada,lightgbm,average_precision_score_0.01,0.1
cada,lightgbm,average_precision_score_0.05,0.1
cada,lightgbm,average_precision_score_0.1,0.943
cada,xgboost,roc_auc_score,0.986
cada,xgboost,average_precision_score,0.959
cada,xgboost,average_precision_score_0.01,0.1
cada,xgboost,average_precision_score_0.05,0.1
cada,xgboost,average_precision_score_0.1,0.605
kl,log_reg,roc_auc_score,0.84
kl,log_reg,average_precision_score,0.501
kl,log_reg,average_precision_score_0.01,0.105
kl,log_reg,average_precision_score_0.05,0.123
kl,log_reg,average_precision_score_0.1,0.136
kl,random_forest,roc_auc_score,0.821
kl,random_forest,average_precision_score,0.458
kl,random_forest,average_precision_score_0.01,0.141
kl,random_forest,average_precision_score_0.05,0.17
kl,random_forest,average_precision_score_0.1,0.199
kl,lightgbm,roc_auc_score,0.824
kl,lightgbm,average_precision_score,0.453
kl,lightgbm,average_precision_score_0.01,0.1
kl,lightgbm,average_precision_score_0.05,0.1
kl,lightgbm,average_precision_score_0.1,0.206
kl,xgboost,roc_auc_score,0.827
kl,xgboost,average_precision_score,0.464
kl,xgboost,average_precision_score_0.01,0.1
kl,xgboost,average_precision_score_0.05,0.1
kl,xgboost,average_precision_score_0.1,0.174
l1,log_reg,roc_auc_score,0.799
l1,log_reg,average_precision_score,0.474
l1,log_reg,average_precision_score_0.01,0.1
l1,log_reg,average_precision_score_0.05,0.101
l1,log_reg,average_precision_score_0.1,0.108
l1,random_forest,roc_auc_score,0.776
l1,random_forest,average_precision_score,0.432
l1,random_forest,average_precision_score_0.01,0.115
l1,random_forest,average_precision_score_0.05,0.151
l1,random_forest,average_precision_score_0.1,0.184
l1,lightgbm,roc_auc_score,0.793
l1,lightgbm,average_precision_score,0.455
l1,lightgbm,average_precision_score_0.01,0.1
l1,lightgbm,average_precision_score_0.05,0.142
l1,lightgbm,average_precision_score_0.1,0.194
l1,xgboost,roc_auc_score,0.79
l1,xgboost,average_precision_score,0.449
l1,xgboost,average_precision_score_0.01,0.108
l1,xgboost,average_precision_score_0.05,0.147
l1,xgboost,average_precision_score_0.1,0.192
l2,log_reg,roc_auc_score,0.984
l2,log_reg,average_precision_score,0.942
l2,log_reg,average_precision_score_0.01,0.114
l2,log_reg,average_precision_score_0.05,0.166
l2,log_reg,average_precision_score_0.1,0.239
l2,random_forest,roc_auc_score,0.982
l2,random_forest,average_precision_score,0.923
l2,random_forest,average_precision_score_0.01,0.414
l2,random_forest,average_precision_score_0.05,0.579
l2,random_forest,average_precision_score_0.1,0.651
l2,lightgbm,roc_auc_score,0.973
l2,lightgbm,average_precision_score,0.929
l2,lightgbm,average_precision_score_0.01,0.1
l2,lightgbm,average_precision_score_0.05,0.1
l2,lightgbm,average_precision_score_0.1,0.687
l2,xgboost,roc_auc_score,0.981
l2,xgboost,average_precision_score,0.926
l2,xgboost,average_precision_score_0.01,0.1
l2,xgboost,average_precision_score_0.05,0.1
l2,xgboost,average_precision_score_0.1,0.1
hd,log_reg,roc_auc_score,0.813
hd,log_reg,average_precision_score,0.41
hd,log_reg,average_precision_score_0.01,0.1
hd,log_reg,average_precision_score_0.05,0.1
hd,log_reg,average_precision_score_0.1,0.106
hd,random_forest,roc_auc_score,0.795
hd,random_forest,average_precision_score,0.367
hd,random_forest,average_precision_score_0.01,0.138
hd,random_forest,average_precision_score_0.05,0.172
hd,random_forest,average_precision_score_0.1,0.188
hd,lightgbm,roc_auc_score,0.794
