1	1738
1	3392
1	3744
1	7629
1	7630
1	7631
1	7632
2	472
2	3100
2	4069
2	4419
2	4756
2	4774
2	5331
2	8087
3	1799
3	2821
3	3910
3	5922
3	6385
4	655
4	2728
4	9174
5	8762
5	9004
6	3110
6	3869
6	4053
6	4087
6	6819
6	9026
6	9027
7	652
7	2491
7	2722
7	3166
7	3576
7	3580
7	3581
7	3582
7	3583
7	3584
7	3585
7	3586
7	3587
7	3588
7	3589
7	3920
7	3936
7	4013
7	4018
7	4057
7	4078
7	4127
7	4160
7	4748
7	4772
7	4773
7	5232
7	5302
7	5303
7	5304
7	5305
7	5306
7	5307
7	5308
8	2730
8	2731
8	2732
8	2733
9	97
9	98
9	112
9	375
9	499
9	684
9	736
9	1182
9	1192
9	1236
9	1496
9	2024
9	4201
9	7860
9	8631
9	8632
9	8633
10	2829
10	2831
11	1761
11	2868
11	3234
11	3411
11	3597
11	4553
11	6115
11	6887
11	7204
12	188
12	665
12	1419
12	1570
12	1892
12	2868
12	3085
12	3411
12	3586
12	3941
12	4502
12	6317
12	6860
12	7051
12	8481
12	8482
12	8483
13	4562
14	409
14	933
14	1760
14	4296
14	6844
14	7396
14	7516
14	8657
14	8658
14	8659
14	8660
14	8661
15	5123
16	1670
16	1999
16	3140
16	3208
16	3415
16	3462
16	3481
16	3545
16	3550
16	3701
16	3904
16	4456
16	4778
16	6675
16	6678
16	6679
16	6680
16	6681
17	1472
17	3544
17	4291
18	895
18	1794
18	4446
19	1128
19	1428
19	1853
19	2911
19	6047
19	9199
19	9200
20	2595
20	3150
20	6625
20	8134
20	8135
21	69
21	219
21	228
21	1011
21	1266
21	1564
21	1635
21	1720
21	2069
21	2829
21	5278
21	8318
21	8984
21	9185
21	9288
21	9289
21	9290
21	9291
21	9292
21	9293
21	9294
21	9295
22	285
22	1108
22	1133
22	1225
22	1304
22	1429
22	1834
22	1867
22	2016
22	2067
22	2070
22	2075
22	2077
22	2078
22	2079
22	2080
22	2081
22	2082
22	2083
22	2084
22	2085
22	2086
22	2087
22	2088
22	2089
22	2090
22	2091
22	2092
22	2093
22	2094
22	2095
22	2096
22	2097
22	2098
22	2099
22	2100
22	2101
22	2102
22	2103
22	2104
22	2105
22	2106
22	2107
22	2108
22	2109
22	2110
22	2111
22	2112
22	2113
22	2114
22	2115
22	2116
22	2117
22	2118
22	2119
22	2120
22	2121
22	2122
22	2123
22	2124
22	2125
22	2126
22	2127
22	2128
22	2129
22	2130
22	2131
22	2132
22	2133
22	2134
22	2135
22	2136
22	2137
22	2138
22	2139
22	2140
22	2141
22	2142
22	2143
22	2144
22	2145
22	2146
22	2147
22	2148
22	2149
22	2150
22	2151
22	2152
22	2153
22	2154
22	2155
22	2156
22	2157
22	2158
22	2159
22	2160
22	2161
22	2162
22	2163
22	2164
22	2165
22	2166
22	2167
22	2168
22	2169
22	2170
22	2171
22	2172
22	2173
22	2174
22	2175
22	2176
22	2177
22	2178
22	2179
22	2180
22	2181
22	2182
22	2183
22	2184
22	2185
22	2186
22	2187
22	2188
22	2189
22	2190
22	2191
22	2192
22	2193
22	2194
22	2195
22	2196
22	2197
22	2198
22	2199
22	2200
22	2201
22	2202
22	2203
22	2204
22	2205
22	2206
22	2207
22	2208
22	2209
22	2210
22	2211
22	2212
22	2213
22	2214
22	2215
22	2216
22	2217
22	2218
22	2219
22	2220
22	2221
22	2222
22	2223
22	2224
22	2225
22	2226
22	2227
22	2228
22	2229
22	2230
22	2231
22	2232
22	2233
22	2234
22	2235
22	2236
22	2237
22	2238
22	2239
22	2240
22	2241
22	2242
22	2243
22	2244
22	2245
22	2246
22	2247
22	2248
22	2249
22	2250
22	2251
