in,out
0,1
0,4
0,5
0,6
0,9
0,10
0,11
0,12
0,14
0,15
0,16
0,17
0,18
0,19
0,22
0,23
0,24
0,25
0,26
0,28
0,29
0,30
0,31
0,35
0,37
0,44
0,45
0,47
0,48
0,51
0,52
0,55
0,65
0,66
0,67
0,69
0,70
0,75
0,79
0,81
0,85
0,88
0,90
0,92
0,95
0,99
0,101
0,104
0,106
0,107
0,109
0,110
0,113
0,116
0,118
0,119
0,121
0,122
0,125
0,129
0,135
0,137
0,138
0,148
0,149
0,152
0,153
0,155
0,163
0,165
0,167
0,168
0,169
0,171
0,174
0,175
0,178
0,179
0,180
0,181
0,185
0,187
0,188
0,191
0,192
0,196
0,205
0,208
0,212
0,215
0,227
0,228
0,230
0,234
0,236
0,245
0,256
0,262
0,270
0,274
0,278
0,284
0,285
0,290
0,295
0,298
0,301
0,310
0,314
0,322
0,324
0,325
0,330
0,331
0,337
0,340
0,344
0,350
0,354
0,363
0,364
0,368
0,369
0,376
0,383
0,386
0,388
0,398
0,407
0,415
0,425
0,433
0,435
0,436
0,441
0,446
0,447
0,450
0,463
0,472
0,489
0,498
0,500
0,512
0,514
0,518
0,522
0,528
0,546
0,549
0,553
0,557
0,570
0,574
0,588
0,595
0,600
0,610
0,644
0,657
0,673
0,685
0,688
0,703
0,711
0,714
0,721
0,726
0,736
0,738
0,739
0,776
0,777
0,794
0,823
0,838
0,858
0,861
0,876
0,878
0,879
0,884
0,887
0,893
0,914
0,920
0,922
0,935
0,950
0,953
0,959
0,960
0,962
0,966
0,972
0,989
0,997
0,1000
0,1030
0,1046
0,1048
0,1083
0,1094
0,1107
0,1112
0,1178
0,1204
0,1206
0,1214
0,1216
0,1218
0,1226
0,1236
0,1250
0,1253
0,1261
0,1279
0,1281
0,1298
0,1307
0,1308
0,1309
0,1334
0,1338
0,1340
0,1349
0,1408
0,1425
0,1439
0,1450
0,1455
0,1460
0,1463
0,1465
0,1475
0,1483
0,1489
0,1494
0,1499
0,1500
0,1504
0,1508
0,1532
0,1556
0,1563
0,1572
0,1633
0,1651
0,1658
0,1678
0,1734
0,1773
0,1800
0,1812
0,1829
0,1840
0,1850
0,1851
0,1855
0,1867
0,1876
0,1884
0,1940
0,1956
0,1967
0,1977
0,1994
0,1995
0,1997
0,2007
0,2035
0,2041
0,2058
0,2079
0,2082
0,2116
0,2124
0,2153
0,2252
0,2253
0,2296
0,2299
0,2329
0,2343
0,2373
0,2407
0,2409
0,2451
0,2483
0,2485
0,2512
0,2530
0,2539
0,2602
0,2612
0,2642
0,2659
0,2663
0,2679
0,2683
0,2742
0,2765
0,2766
0,2823
0,2910
0,2914
0,3002
0,3033
0,3054
0,3059
0,3062
0,3127
0,3170
0,3194
0,3254
0,3261
0,3281
0,3301
0,3352
0,3396
0,3409
0,3423
0,3468
0,3495
0,3504
0,3513
0,3543
0,3619
0,3644
0,3657
0,3682
0,3715
0,3717
0,3743
0,3774
0,3831
0,3833
0,3868
0,3881
0,3887
0,3954
0,3983
0,4016
0,4046
0,4077
0,4106
0,4118
0,4138
0,4151
0,4167
0,4222
0,4239
0,4253
0,4266
0,4311
0,4383
0,4399
0,4401
0,4423
0,4434
0,4476
0,4511
0,4558
0,4591
0,4628
0,4661
0,4689
0,4730
0,4758
0,4781
0,4782
0,4864
0,4873
0,4892
0,4958
0,4978
0,4992
0,5047
0,5059
0,5061
0,5065
0,5141
0,5177
0,5186
0,5215
0,5234
0,5243
0,5258
0,5276
0,5301
0,5310
0,5334
0,5344
0,5386
0,5427
0,5439
0,5451
0,5538
0,5570
0,5587
0,5599
0,5624
0,5693
0,5763
0,5766
0,5770
0,5774
0,5789
0,5795
0,5811
0,5858
0,5967
0,6020
0,6023
0,6039
0,6061
0,6068
0,6076
0,6144
0,6256
0,6262
0,6298
0,6329
0,6402
0,6450
0,6477
0,6505
0,6560
0,6634
0,6684
0,6700
0,6701
0,6728
0,6763
0,6816
0,6914
0,7074
0,7096
0,7112
0,7143
0,7211
0,7227
0,7324
0,7343
0,7354
0,7401
0,7404
0,7421
0,7451
0,7481
0,7498
0,7524
0,7549
0,7555
0,7607
0,7624
0,7647
0,7664
0,7686
0,7706
0,7753
0,7784
0,7839
0,7922
0,7968
0,7983
0,7991
0,8166
0,8343
0,8406
0,8412
0,8414
0,8432
0,8478
0,8559
0,8605
0,8783
0,8805
0,8849
0,8909
0,8954
0,8995
0,9003
0,9019
0,9023
0,9353
0,9421
0,9471
0,9503
0,9533
0,9545
0,9650
0,9879
0,9886
1,3
1,4
1,5
1,7
1,8
1,9
1,16
1,18
1,23
1,24
1,26
1,30
1,31
1,32
1,35
1,36
1,37
1,38
1,40
1,67
1,70
1,77
1,81
1,90
1,93
1,109
1,112
1,115
1,118
1,119
1,120
1,131
1,133
1,134
1,143
1,149
1,165
1,167
1,168
1,173
1,175
1,181
1,186
1,195
1,205
1,212
1,236
1,249
1,258
