node_id,target,participation,in_mod_deg,beta_star,edge_contr,cada,kl,l1,l2,hd,kl2,l12,l22,hd2,lcc,bc,dc,ndc,cc,ec,eccen,core
1,true,0.07261223753872378,5.115762723534588,0.07155078308352647,0.16194331983805668,6.175,0.08196670292891808,0.2585514170040486,0.10079844867518042,0.15075844060725924,0.059233891361325786,0.26317704435568634,0.07083415518817421,0.1235054928584951,0.009353622783749826,0.07845805316535238,494,38.51821862348178,0.45818631718828756,0.19968883565605686,4,12
2,false,0.5546059054320396,14.985703363053311,0.6489820868329205,0.740343347639485,1.3507246376811595,1.2888858620170758,1.3026866952789697,0.6697190244409472,0.538413962813564,0.3951195590794365,0.6372180721983568,0.3190028596574361,0.2948850547753179,0.014915316812035628,0.03920259816429311,466,28.474248927038627,0.4162261166382217,0.19950147131174104,4,12
3,false,0.5345627602617486,19.956850353908095,0.5902066148028342,0.7268292682926829,1.3758389261744965,0.9289369453496412,1.1678585365853655,0.5987652264112451,0.4811124069561604,0.3532713042555,0.6685832404243839,0.33730462973512443,0.2872168025242732,0.012368060110918958,0.03808321469222008,410,27.12682926829268,0.40590241130145327,0.10851970370488112,4,12
4,false,0.5217135574943631,14.515336375813755,0.6615055385481889,0.7178217821782178,1.393103448275862,1.5227189829386312,1.320243564356435,0.6808028500694455,0.5656487855909434,0.4128971375481404,0.6172485574789173,0.28249270384880987,0.2969518043928811,0.015416554062354126,0.03556813386385363,404,27.883663366336634,0.4089737821587795,0.12383647488619606,4,12
5,false,0.5081353715465944,15.17202874569717,0.6772510027879582,0.7073791348600509,1.4136690647482015,1.8991605956747744,1.3483582697201006,0.697884265465452,0.6051201154984043,0.37751351633939795,0.6193439594630632,0.22708778224253143,0.28307453563267704,0.016422599574180817,0.040793687640244256,393,28.623409669211195,0.4092918542775276,0.1136583100221856,4,12
6,false,0.555680562005743,12.531816620088444,0.6497161783641482,0.7416879795396419,1.3482758620689654,1.3006777844402935,1.3053759590792842,0.6731304244709594,0.5424425224640294,0.5244396289363845,0.7995737111007898,0.3791549837896603,0.337102200035878,0.01703718276608302,0.02704862367265374,391,27.531969309462916,0.39941679316130063,0.16343094055914495,4,12
7,false,0.5236816406250003,16.901440483485484,0.6603986218068739,0.71875,1.391304347826087,1.4495153945742705,1.3086999999999993,0.6740230304856059,0.552730160429671,0.3718913537064632,0.6024345529250635,0.2762152165638144,0.2823027760842586,0.01388435596170583,0.036993765154320256,384,26.619791666666668,0.405540233614536,0.09949615451369485,4,12
8,false,0.5319892546805186,11.951807026296748,0.6330858240325907,0.725130890052356,1.3790613718411553,1.2561054847447892,1.2722617801047116,0.6575286035781641,0.5333988299815985,0.41198796849703406,0.6711779111444526,0.3284989525669688,0.3007056431793258,0.017452006980802792,0.031029214077971132,382,31.405759162303664,0.4097782877750912,0.16926520326452946,4,12
9,false,0.5239395555555557,11.63949416810122,0.627897950212468,0.72,1.3888888888888888,1.2222765996388198,1.2619999999999993,0.6510237339930259,0.5267149746229866,0.4000432769351594,0.6874790481717932,0.31540085970353404,0.29825387868777703,0.017611408199643495,0.02989822541153992,375,32.16266666666667,0.4099630996309963,0.16699318648857,4,12
10,false,0.48942936486607536,10.351752741876412,0.660979188424813,0.6939890710382514,1.4409448818897639,1.9058177019681584,1.3311715846994534,0.685664792524456,0.5974494556275182,0.4945465974502787,0.6294797935688765,0.2709846098637699,0.31111810005960144,0.02000149711804776,0.02738488478315028,366,27.530054644808743,0.40015207299503763,0.12528991862243083,4,12
