node_id,target,participation,in_mod_deg,beta_star,edge_contr,cada,kl,l1,l2,hd,kl2,l12,l22,hd2,lcc,bc,dc,ndc,cc,ec,eccen,core
1,false,1.0,2.0407218106241256,0.9788736555962653,1.0,1.0,3.8847964993188238,1.9588959786318458,0.9870745186339722,0.9255486347227565,3.8847964993188238,1.9588959786318458,0.9870745186339722,0.9255486347227565,0.0,0.0008167096391555927,5,1.8,0.023641122256019477,1.1067551408019784e-9,88,2
2,false,1.0,-0.4422061902962967,0.9787850135917741,1.0,1.0,3.8847964993188238,1.9588959786318458,0.9870745186339722,0.9255486347227565,3.8847964993188238,1.9588959786318458,0.9870745186339722,0.9255486347227565,0.0,0.0008221346694993706,2,4.0,0.0241219395635964,3.521193262313935e-9,87,2
3,false,0.7551020408163265,2.9292086885883526,0.8435806304557043,0.8571428571428571,1.1666666666666667,3.7589463288168417,1.9222436563288332,0.8596263730786805,0.9110327181912864,3.7077476645182457,1.9074046594450225,0.8511084945501395,0.9059471956024183,0.0,0.10360561350810844,7,3.857142857142857,0.025171881157790732,1.0719171459918075e-10,111,2
4,false,0.625,0.31266294022586005,0.7242938186975535,0.75,1.3333333333333333,3.279217532128335,1.9222436563288334,0.7722839509818555,0.8969121481651069,3.249455237708714,1.9222436563288334,0.7032027967088111,0.896063112803823,0.0,0.05448777372125469,4,3.75,0.024770072268252695,1.2884196075309561e-10,111,2
5,false,1.0,0.5210068279628689,0.9828920931331994,1.0,1.0,3.9714797384876257,1.9623089479151221,0.9888018378925904,0.9288277515136368,3.9714797384876257,1.9623089479151221,0.9888018378925904,0.9288277515136368,0.0,0.0016307093824504016,3,2.3333333333333335,0.019849095619413438,1.9015294802624647e-10,102,2
6,false,1.0,-0.19047561452405956,0.982862545798369,1.0,1.0,3.9714797384876257,1.9623089479151221,0.9888018378925904,0.9288277515136368,3.9714797384876257,1.9623089479151221,0.9888018378925904,0.9288277515136368,0.0,0.00014840097944646434,2,2.0,0.019462861417552536,6.01626509056651e-11,103,1
7,false,1.0,-1.4778154999566842,0.9875901193712328,1.0,1.0,4.293878247897177,1.9726962457337898,0.9940404279698246,0.9397652645382266,4.293878247897177,1.9726962457337898,0.9940404279698246,0.9397652645382266,0.0,0.0,1,3.0,0.021187553157538112,8.04884401489811e-12,99,1
8,false,1.0,0.9285389424506602,0.9876492140408936,1.0,1.0,4.293878247897177,1.9726962457337898,0.9940404279698246,0.9397652645382266,4.293878247897177,1.9726962457337898,0.9940404279698246,0.9397652645382266,0.0,0.00029679094665046457,3,1.6666666666666667,0.021646148039286547,1.964216809363582e-11,98,1
9,false,1.0,0.2973640476186655,0.981089705708545,1.0,1.0,3.9953852593411803,1.963199287728151,0.9892519468936077,0.9297053767777241,3.4873304934209894,1.9106692387594606,0.8298847484625265,0.9001043967192365,0.3333333333333333,0.00034047749547966814,3,4.0,0.024221042850955308,4.793102911321778e-6,87,2
10,false,1.0,0.2973640476186655,0.981089705708545,1.0,1.0,3.9953852593411803,1.963199287728151,0.9892519468936077,0.9297053767777241,3.4585257022245575,1.9106692387594608,0.8163855751136604,0.8991022243749656,0.3333333333333333,0.000259596239732646,3,3.6666666666666665,0.023935622287106696,4.770964575097567e-6,87,2
