emb_node2vec_0,emb_node2vec_1,emb_node2vec_2,emb_node2vec_3,emb_node2vec_4,emb_node2vec_5,emb_node2vec_6,emb_node2vec_7,emb_node2vec_8,emb_node2vec_9,emb_node2vec_10,emb_node2vec_11,emb_node2vec_12,emb_node2vec_13,emb_node2vec_14,emb_node2vec_15
1.2875161,-0.77105004,0.99636674,0.69115573,1.1915036,1.512977,0.50445443,-0.7309972,0.11011658,0.00022697871,-0.018642569,-1.3888836,-0.32439443,-1.66624,0.8477272,1.4396638
-0.45815107,-1.2537552,0.73191524,0.78824514,0.98844594,0.6948666,-0.6984756,-1.2761217,0.7614348,0.004771207,-0.60524505,0.23220655,-0.15941423,-1.0915004,-0.4793002,-2.1005635
-0.75254035,-0.113104306,1.0611134,0.16607098,1.2121953,0.74354094,1.8038231,-1.4304076,-0.39069936,-2.1706705,-0.6396513,0.38846907,-0.5908006,-2.850536,1.5974132,0.6284049
-0.7233544,0.016312165,-0.0643229,0.83340394,1.0170982,0.8667215,1.2700433,-1.0328473,2.3093266,1.2392337,0.3849296,0.010962724,-1.2752082,-1.0524904,-0.8937066,0.45949337
-1.5684301,-0.7358308,1.0940512,1.1232163,2.1815464,1.2274356,1.2848356,1.5078835,0.31310242,0.064035475,-0.33069468,-0.02327402,0.6769092,-1.3022574,0.95053494,0.12681544
-0.9344597,-0.85110986,0.17706102,-0.15543148,-0.060739007,1.7762978,-0.04416969,-1.3121676,-0.08593191,0.40687594,0.4908492,-0.17853153,-0.09351945,-1.0778096,-1.4098548,1.1798122
-0.83085155,-0.36137193,1.058673,0.2310792,1.5873137,1.3278277,1.2300757,-1.7245378,-1.0097725,-1.7515329,-0.9406043,0.42217696,-0.39382985,-1.7475946,1.620489,0.3962087
-1.4386164,-0.7295727,-1.3928667,1.2592363,0.79990476,1.677735,0.23019871,-0.4362623,-0.005830946,-0.65540355,0.6759388,0.6157201,0.28888205,-1.6532186,-0.7343825,0.3793258
-1.4752513,-0.8434977,0.16823703,1.4654105,0.4268105,0.5003247,0.5021507,-1.5935036,-1.5424247,0.13128622,0.029829696,0.5456053,0.07552189,-1.1560905,-1.2657777,-1.2036494
-0.88155097,-0.27765408,-0.20222335,-0.59721845,1.2903744,1.2693408,1.6621903,-2.0966647,-1.1608803,-1.7401946,-0.915653,-0.77592963,-0.42213708,-2.2216558,-0.8368213,1.2286645
-1.5147313,0.4478456,-0.20982155,1.2709106,0.7705202,0.9587126,1.1017267,-0.9139207,0.3392801,0.141785,-0.06943998,-0.9659348,1.1556753,0.15590073,-0.13294756,1.623559
-1.6157379,-0.33640775,0.30001342,1.342011,0.6129996,2.1655045,1.5902406,-0.48127073,-0.9684351,1.2525445,0.79914945,-2.4624429,0.6115044,-0.13545118,1.1526926,0.63656
-0.8393245,-0.39952064,0.78748274,-0.44578683,0.5434667,1.2399827,0.52104205,-1.85751,1.8906807,-0.5569581,-0.2582739,0.47091812,-0.024627093,-1.6405215,-0.80937123,-0.039763946
-1.8612273,0.8732408,1.4000958,1.415991,0.4561284,-0.7596753,1.4326787,-1.2013695,-0.88854235,-0.017157985,-0.23587093,-0.9276631,-0.01880534,-1.3095157,-0.38840845,0.5097575
-1.6111224,0.7406484,1.9397908,0.010343924,0.57286,1.3977758,-0.09417281,0.30898938,1.5962766,1.2633784,-0.14314781,-0.99541295,-1.0127729,-2.4100132,0.16299716,1.1335704
-0.107238986,-0.3958782,-0.026043292,0.031743284,0.33200622,1.4831382,0.07255395,-1.6533047,2.079743,-0.2374697,-0.23363937,0.16971949,-0.06112507,-1.991046,-0.6525112,0.05938836
0.28010488,0.3442161,0.5103799,1.5646843,-0.38842627,-0.054739114,1.5808829,-0.8288549,-0.45038658,0.018655447,-1.6486359,0.18507254,0.45982304,-1.6673268,0.73340815,0.1389832
-1.2683039,-0.028792419,-0.35436374,0.42571217,0.7244629,1.6084827,0.48258066,-0.16345854,-1.3453041,1.3752129,-1.0844773,-1.1731728,-1.1517639,-0.9817036,0.0040284125,0.047286637
-0.42434508,-0.6133043,0.6304965,1.0333909,0.9265058,0.36662742,-0.93742967,-0.48740754,1.69519,-0.52577746,-0.66897345,-0.4074636,-1.0002786,-1.7359942,-0.30216587,-0.3055007
0.35773724,0.72138304,0.80887514,3.037603,-0.40627947,-0.047131963,0.64350134,-0.49388388,-1.6719406,-0.12334106,-1.0922431,-1.9580151,-0.9271967,-2.9877543,-1.752849,0.43896267
-0.63566655,-1.7726508,0.824018,1.2591599,-0.83164096,0.95485705,-0.86032045,-0.07323611,0.9295748,1.3483013,0.28347167,0.038466733,-0.9016764,-1.545062,-0.0006705814,0.025231047
-1.1893657,0.08272085,1.325374,0.877393,1.0692177,1.7374722,1.7874174,-1.1741592,1.8278465,0.18902649,-2.658266,0.27380368,-0.06245984,0.4820075,0.92998844,-0.48953912
-1.0675442,0.27326837,0.9943301,0.56922,0.4108356,0.6583704,0.11077553,-1.3339667,2.1991954,0.64302313,-0.09213744,-0.66641283,-0.10698137,-0.99561936,-1.0808319,0.40830183
-0.46338004,0.8310973,0.1496353,0.21678546,0.39309552,0.5293633,1.0276924,-1.7800026,0.58961844,1.5486866,-1.1358618,-0.40357316,0.9656667,-0.36485896,0.43937078,0.64849335
0.72218066,-0.4026221,0.31074625,1.5462017,0.12492823,0.4968929,0.79876566,-0.6556448,-1.0713062,-0.068814784,-1.0009146,-0.26165557,0.13454482,-2.5563066,-0.7511687,-1.8641602
-0.69921094,0.35733578,-1.2088754,0.91908866,0.22454874,1.538687,0.9448754,-0.71287274,-0.37419155,0.9960832,-0.67770606,0.5587143,-0.38196966,-0.9457259,0.036118742,-0.05858521
-2.477252,-0.73956114,0.22006607,1.0305076,0.550245,0.54667294,2.0005782,-0.77348226,-1.799391,-0.67804366,0.9355865,-0.13039766,-0.5261105,-1.6438044,-0.064296976,0.68055767
0.21181971,1.6679478,1.1958046,1.9227089,0.5939016,0.5334506,0.5000834,-0.20750776,0.56018186,0.33640948,-1.9205602,-0.36966974,0.20705703,-2.438106,1.1488435,-0.05760316
-1.2838793,-1.485844,0.74464405,0.55260754,0.76836026,1.0394166,0.72381103,-0.16513869,-0.19585305,1.9760928,0.6139325,-0.012378042,-0.98999596,-0.40615916,-0.36251995,-0.71447355
0.09665052,-0.77590716,2.8230271,1.4286407,-0.4007638,1.3081923,2.256154,0.4475639,0.2963056,-0.39470962,-0.7012185,-1.0078138,-0.9787708,0.0831425,-0.39310792,0.27846152
-0.7004776,-1.8675121,-1.3107433,1.2205297,0.7183104,1.6405777,1.2707498,-0.92252105,-0.0032955366,0.91831136,-0.19430166,-0.7735833,-0.6754972,-0.6800468,0.44395292,-0.85764325
-0.77086294,-0.75595856,0.47695634,-0.3266783,0.29899862,1.0014466,0.7718347,-0.8003297,2.3739507,-0.7420292,-0.5142376,0.09592089,0.37819505,-2.3432214,-0.7177153,-0.0021557228
